Brand;Family;Name;Reference;Movement_Caliber;Movement_Functions;Limited;Case Material;Glass;Back;Shape;Diameter;Height;W/R;Dial Color;Indexes;Hands;Description
Mido;Multifort;Multifort TV Big Date Yellow Gold / Champagne;M049.526.33.021.00;ETA caliber C07.651;Hours, Minutes, Seconds | Date, Big Date;No;Stainless Steel;Sapphire;Open;Cushion;39.20 mm;11.50 mm;100.00 m;Champagne;Stick / Dot;Stick;The Mido Multifort TV Big Date M049.526.33.021.00 debuted in 2025 as a special edition. The watch features a TV-shaped case in stainless steel with yellow gold PVD coating, measuring 39.2 x 40 mm with a thickness of 11.5 mm. It is fitted with a sapphire crystal with anti-reflective treatment on both sides, a sapphire display back, and is water resistant to 100 meters. The watch is delivered on a yellow gold PVD-coated stainless steel bracelet with folding clasp, with an additional strap included.  The dial has a champagne-toned gradient finish with horizontal brushing. Applied indexes and hands are treated with Super-LumiNova. A large double-disc date aperture is positioned at 12 o�clock.  Power comes from the automatic caliber 80, based on the ETA C07. This movement measures 25.6 mm in diameter and 5.22 mm in height. It beats at 21,600 vph, has 25 jewels, and provides a power reserve of 80 hours. It is equipped with a Nivachron balance spring for enhanced resistance to magnetism and shocks. Functions include hours, minutes, central seconds, and big date.
Hamilton;Khaki Field;Khaki Field Mechanical 38 Lancaster Edition;H89479970;Hamilton caliber H-50 ND;Hours, Minutes, Seconds;No;Stainless Steel;Sapphire;Closed;Round;38.00 mm;Bilgi Yok;50.00 m;Brown;Arabic Numerals;Syringe;The Hamilton Khaki Field Mechanical 38 H89479970 debuted in 2025 as the Lancaster Edition, a boutique-exclusive created for the Hamilton flagship in Lancaster, Pennsylvania. The boutique, located in the historic Steinman Hardware Building on Queen Street, opened in 2024 as Hamilton�s first exclusive retail space in the United States.  The Lancaster Edition is housed in a 38 mm stainless steel case, with a matte finish and sapphire crystal, water resistant to 50 meters. It is paired with a NATO-style strap.  The dial is unique to this edition, featuring a brick pattern inspired by the facade of the Lancaster Hamilton Boutique. Time is displayed through luminous Arabic numerals and hands, in keeping with the military-inspired design of the Khaki Field line.  Inside ticks the hand-wound caliber H-50, developed by ETA for Hamilton. This movement has a frequency of 21,600 vph and a power reserve of 80 hours. Functions include hours, minutes, and central seconds.  The Hamilton Khaki Field Mechanical 38 Lancaster Edition is exclusively available at the Hamilton Lancaster Boutique.
Panerai;Luminor;Luminor Marina Militare;PAM05218;Panerai caliber P.6000 NS;Hours, Minutes, Small Seconds;No;Stainless Steel;Sapphire;Closed;Cushion;44.00 mm;Bilgi Yok;300.00 m;Black;Mixed;Stick;The Panerai Luminor Marina Militare PAM05218 debuted in 2025. An hommage to the original PAM 5218-202A, it features a DLC-coated Bettarini-style case of 44.00mm, paired with a matte black dial with the signature non-matching lume of the original. This watch is powered by caliber P.6000 NS. While not limited, production is capped at 500 pieces annually.
Audemars Piguet;CODE 11.59;CODE 11:59 Flying Tourbillon Pink Gold / Sodalite;26665OR.OO.D349CR.01;Audemars Piguet caliber AP 2968;Hours, Minutes | Tourbillon Escapement;No;Pink Gold;Sapphire;Open;Other;38.00 mm;9.60 mm;50.00 m;Blue;Stick / Dot;Stick;The Audemars Piguet Code 11.59 Selfwinding Flying Tourbillon 26665OR.OO.D349CR.01 debuted in 2025 to mark the Manufacture�s 150th anniversary. The case, crafted in 18k pink gold, measures 38 mm in diameter and 9.6 mm in thickness. Both sides are fitted with glareproof sapphire crystals. Water resistance is 30 meters. The strap is blue alligator leather secured by an 18k pink gold AP folding clasp.  The dial is cut from blue sodalite, a natural ornamental stone chosen for its depth of color and unique texture. It is complemented by an inner bezel in matching tone and 18k pink gold hands with luminescent coating.  This reference is powered by a self-winding flying tourbillon caliber, visible through the sapphire back. The movement incorporates a central rotor, beats at 21,600 vph, and provides a power reserve of approximately 65 hours. Functions are limited to hours, minutes, and the one-minute flying tourbillon at 6 o�clock.
Audemars Piguet;CODE 11.59;CODE 11:59 Flying Tourbillon White Gold / Ruby Root;26665BC.OO.D632CR.01;Audemars Piguet caliber AP 2968;Hours, Minutes | Tourbillon Escapement;No;White Gold;Sapphire;Open;Other;38.00 mm;9.60 mm;50.00 m;Red;Stick / Dot;Stick;The Audemars Piguet Code 11.59 Selfwinding Flying Tourbillon 26665BC.OO.D632CR.01 debuted in 2025 as part of the Manufacture�s 150th anniversary collection. The case is crafted in 18k white gold, 38 mm in diameter and 9.6 mm in thickness. It is fitted with glareproof sapphire crystals front and back and is water resistant to 30 meters. The strap is red alligator leather with an 18k white gold AP folding clasp.  The dial is cut from ruby root, its deep red surface accented by an inner bezel in a matching tone. White gold hands, filled with luminescent material, complete the display.  Power is provided by a self-winding flying tourbillon caliber, visible through the sapphire back. The movement integrates a central rotor, runs at 21,600 vph, and offers a power reserve of approximately 65 hours. Functions are limited to hours, minutes, and the one-minute flying tourbillon at 6 o�clock.
Audemars Piguet;CODE 11.59;CODE 11:59 Flying Tourbillon Yellow Gold / Malachite;26665BA.OO.D412CR.01;Audemars Piguet caliber AP 2968;Hours, Minutes | Tourbillon Escapement;No;Yellow Gold;Sapphire;Open;Other;38.00 mm;9.60 mm;50.00 m;Green;Stick / Dot;Stick;The Audemars Piguet Code 11.59 Perpetual Calendar 26665BA.OO.D412CR.01 debuted in 2025. The 18k pink gold case measures 38 mm in diameter and 10 mm in thickness. Both front and back are fitted with glareproof sapphire crystals, and water resistance is rated at 30 meters. The watch is delivered on a green alligator strap secured by an 18k pink gold AP folding clasp.  The dial is green with an embossed motif, paired with tone-on-tone subdials. The applied hour markers and hands are in 18k pink gold with luminescent coating, framed by a matching green inner bezel.  This model is powered by the self-winding caliber 7138. The movement has a diameter of 29.6 mm and a height of 4.6 mm, is composed of 401 components with 41 jewels, and beats at a frequency of 28,800 vph (4 Hz). The power reserve is 55 hours. Functions include hours, minutes, perpetual calendar with day, date, month, leap year, and astronomical moon phase. The caliber incorporates three patented mechanisms and is adjusted entirely through the crown, without the use of additional correctors.
Audemars Piguet;CODE 11.59;CODE 11.59 Perpetual Calendar 38 Red Gold / Green;26441OR.OO.D405CR.01;Audemars Piguet caliber AP 7138;Hours, Minutes | Date, Day, Leap Year, Month, Week Indicator | Moonphase;No;Red Gold;Sapphire;Open;Round;38.00 mm;10.00 mm;30.00 m;Green;Stick / Dot;Stick;The Audemars Piguet Code 11.59 Perpetual Calendar 26441OR.OO.D405CR.01 debuted in 2025. The 18k pink gold case measures 38 mm in diameter and 10 mm in thickness. Both front and back are fitted with glareproof sapphire crystals, and water resistance is rated at 30 meters. The watch is delivered on a green alligator strap secured by an 18k pink gold AP folding clasp.  The dial is green with an embossed motif, paired with tone-on-tone subdials. The applied hour markers and hands are in 18k pink gold with luminescent coating, framed by a matching green inner bezel.  This model is powered by the self-winding caliber 7138. The movement has a diameter of 29.6 mm and a height of 4.6 mm, is composed of 401 components with 41 jewels, and beats at a frequency of 28,800 vph (4 Hz). The power reserve is 55 hours. Functions include hours, minutes, perpetual calendar with day, date, month, leap year, and astronomical moon phase. The caliber incorporates three patented mechanisms and is adjusted entirely through the crown, without the use of additional correctors.
Audemars Piguet;Royal Oak;Royal Oak Perpetual Calendar 38 Pink Gold / Pink;26684OR.OO.1356OR.01;Audemars Piguet caliber AP 7136;Hours, Minutes | Date, Day, Leap Year, Month | Moonphase;Yes, 150 units;Pink Gold;Sapphire;Open;Other;38.00 mm;9.40 mm;50.00 m;Pink;Stick / Dot;Stick;The Audemars Piguet Royal Oak Selfwinding Perpetual Calendar 26684OR.OO.1356OR.01 debuted in 2025. The 18k pink gold case measures 38 mm in diameter and 9.4 mm in thickness. Both sides are fitted with glareproof sapphire crystals, and the case is rated water resistant to 50 meters. The integrated pink gold bracelet is secured with an AP folding clasp.  The dial is beige with the Grande Tapisserie guilloch� pattern, complemented by tone-on-tone subdials. The hands and applied hour markers are 18k pink gold with luminescent coating, paired with a pink gold-toned inner bezel.  Inside ticks the self-winding caliber 7136. This movement measures 29.6 mm in diameter and 4.1 mm in height, is made of 413 components with 41 jewels, and beats at 28,800 vph (4 Hz). The power reserve is 55 hours. Functions include hours, minutes, perpetual calendar with day, date, month, leap year, and astronomical moon phase. The caliber incorporates three patented mechanisms and is adjusted entirely through the crown, without external correction tools.
Audemars Piguet;Royal Oak;Royal Oak Perpetual Calendar 38 Stainless Steel / Light Blue;26684ST.OO.1356ST.01;Audemars Piguet caliber AP 7136;Hours, Minutes | Date, Day, Leap Year, Month | Moonphase;Yes, 150 units;Stainless Steel;Sapphire;Open;Other;38.00 mm;9.40 mm;50.00 m;Blue;Stick / Dot;Stick;The Audemars Piguet Royal Oak Perpetual Calendar Automatic 26684ST.OO.1356ST.01 debuted in 2025. This reference is housed in a stainless steel case of 38 mm with a thickness of 9.4 mm. Both front and back are fitted with glareproof sapphire crystals, and water resistance is rated at 50 meters. The integrated stainless steel bracelet is secured with an AP folding clasp.  The dial is light blue with the signature Grande Tapisserie pattern. It features tone-on-tone subsidiary dials for the perpetual calendar indications, complemented by white gold applied hour markers and hands with luminescent coating, and a silvery-grey inner bezel.  This model is powered by the self-winding caliber 7136, a movement measuring 29.6 mm in diameter and 4.1 mm in height, composed of 413 parts with 41 jewels. It operates at a frequency of 28,800 vph (4 Hz) and has a power reserve of 55 hours. Functions include hours, minutes, perpetual calendar with day, date, month, leap year, and astronomical moon phase. The caliber incorporates three patented mechanisms and is adjusted entirely via the crown, without the need for correction tools.
A. Lange & S�hne;Arkade;Arkade Yellow Gold / Silver / Bracelet;153,022;A. Lange & S�hne caliber L911.4;Hours, Minutes, Small Seconds | Big Date;No;Yellow Gold;Sapphire;Open;Tonneau;29.00 mm;8.40 mm;Bilgi Yok;Champagne;Mixed;Alpha;The A. Lange & Soehne Arkade 153.022 features a yellow gold case and matching bracelet. It is powered by caliberL911.4. The dial is Champagne.
A. Lange & S�hne;Cabaret;Cabaret White Gold - Diamond / MOP;827,029;A. Lange & S�hne caliber L931.3;Hours, Minutes, Small Seconds | Big Date;No;Pink Gold;Sapphire;Open;Rectangular;36.30 mm;9.10 mm;Bilgi Yok;White;Mixed;Alpha;The A. Lange & Soehne Cabaret 827.029 has a white gold case crowned by a diamond-set bezel. The dial is White mother-of-pearl. This watch is powered by caliber L931.3, a hand-wound movement with big date and small seconds.
A. Lange & S�hne;Arkade;Arkade White Gold - Diamond / Blue / Bracelet;861,031;A. Lange & S�hne caliber L911.4;Hours, Minutes, Small Seconds | Big Date;No;White Gold;Sapphire;Open;Rectangular;29.00 mm;8.40 mm;Bilgi Yok;Blue;Mixed;Alpha;The ref. 812.029 Arkade features a white gold case and bracelet, both set with diamonds. The dial is blue.
A. Lange & S�hne;Arkade;Arkade White Gold - Diamond / Diamond;801,039;A. Lange & S�hne caliber L911.4;Hours, Minutes, Small Seconds | Big Date;No;White Gold;Sapphire;Open;Tonneau;29.00 mm;8.40 mm;30.00 m;Diamonds;Gem-Set Indexes;Alpha;The A. Lange & Sohne Arkade 801.039 has a White Gold case crowned by a bezel set with diamonds. The dial is diamond-set. This watch is powered by caliber L911.4.
A. Lange & S�hne;Cabaret;Cabaret White Gold - Baguette / Black;808,035;A. Lange & S�hne caliber L931.3;Hours, Minutes, Small Seconds | Big Date;No;Bilgi Yok;Bilgi Yok;Bilgi Yok;Bilgi Yok;36.30 mm;9.10 mm;Bilgi Yok;Black;Bilgi Yok;Bilgi Yok;The Lange Cabaret 808.035 has a rectangular case in , paired with a Black dial. This watch is powered by a caliber L931.3 movement.
A. Lange & S�hne;1815;1815 Moonphase Emil Lange Platinum;231,035;A. Lange & S�hne caliber L943.1;Hours, Minutes, Sma
